Date,Amgen Inc. (AMGN),Teva Pharmaceutical Industries Limited (TEVA),Medtronic plc (MDT),Novartis AG (NVS),UnitedHealth Group Incorporated (UNH)
1/29/2016,147.787942,59.205815,74.32106,72.409734,112.770984
1/28/2016,143.54968,58.175395,72.353398,71.081711,109.069395
1/27/2016,145.601076,59.735469,73.900116,72.614046,109.999691
1/26/2016,148.803969,61.690377,73.998009,76.746701,111.595874
1/25/2016,148.465288,60.833299,74.105693,75.799443,111.027905
1/22/2016,151.029548,60.91997,74.32106,76.375225,111.958201
1/21/2016,147.836327,59.696952,73.028861,74.164952,111.145418
1/20/2016,150.00385,59.59102,72.999494,74.750022,112.408657
1/19/2016,146.404221,59.793251,73.009286,75.214366,110.244505
1/15/2016,146.404221,60.207345,72.363182,74.508569,107.003167
1/14/2016,148.204035,60.871821,73.214862,76.80242,108.462262
1/13/2016,140.753196,60.457726,73.077811,75.307233,106.964003
1/12/2016,145.910714,62.017804,74.830113,76.375225,109.931144
1/11/2016,142.911033,61.141466,71.46256,75.818014,107.306741
1/8/2016,145.833316,61.343697,72.226131,75.743717,107.87471
1/7/2016,148.029852,62.104471,72.842868,77.953997,109.764665
1/6/2016,151.648838,62.557087,74.595162,78.966263,113.094133
1/5/2016,153.051916,63.423797,74.389586,80.062114,114.259448
1/4/2016,153.216413,62.884514,74.174218,79.634918,114.044011
12/31/2015,157.07731,63.211934,75.3,79.904239,115.199532
12/30/2015,158.006238,63.63566,75.897153,81.28798,116.452977
12/29/2015,159.119035,63.751217,76.210413,81.770902,117.334308
12/28/2015,156.496719,63.491207,75.554526,80.563606,115.87522
12/24/2015,158.257834,63.86678,75.995046,80.303574,115.885007
12/23/2015,157.45469,63.683806,76.014628,80.461449,116.227752
12/22/2015,157.048282,63.298608,75.691577,78.799099,115.003684
12/21/2015,154.125999,63.47195,75.065056,78.641224,114.974308
12/18/2015,153.661535,62.845993,74.702846,78.724802,113.417289
12/17/2015,156.206423,62.913403,76.259363,79.217012,116.746756
12/16/2015,159.254504,63.433429,76.915251,80.340723,116.364848
12/15/2015,157.357919,62.557087,75.476209,79.198434,115.170156
12/14/2015,152.99386,61.709641,75.035689,78.529779,113.446665
12/11/2015,150.129633,62.104471,75.035689,78.49263,113.573973
12/10/2015,154.503379,62.171882,75.809052,79.03127,113.799197
12/9/2015,152.780977,63.038592,75.92652,77.972568,112.663266
12/8/2015,154.193741,63.240823,76.435573,78.910544,113.476041
12/7/2015,153.177714,63.56825,76.308306,79.477043,113.505425
12/4/2015,156.206423,63.288976,76.494307,80.071403,115.297456
12/3/2015,149.645812,61.179983,75.055265,78.529779,112.6143
12/2/2015,155.32588,60.78515,74.507061,78.956974,115.199532
12/1/2015,156.738629,62.614865,74.898638,79.820653,113.358536
11/30/2015,155.887114,60.602179,73.753274,79.161286,109.897129
11/27/2015,158.228806,61.122205,74.849688,79.718497,111.486447
11/25/2015,158.644885,60.66959,74.947581,79.820653,111.554707
