Date,Sirius XM Holdings Inc. (SIRI),Comcast Corporation (CMCSA),McDonald's Corporation (MCD),FedEx Corporation (FDX),"Wal-Mart Stores, Inc. (WMT)"
2/9/2016,3.334872,28.500755,112.681741,128.643262,63.486103
2/8/2016,3.344827,29.083404,111.757253,129.198397,64.537617
2/5/2016,3.404557,29.088299,111.131295,130.764681,64.634084
2/4/2016,3.49415,28.500755,116.196727,133.044714,64.074564
2/3/2016,3.484195,28.319597,116.976762,129.842748,63.929859
2/2/2016,3.553879,26.728333,119.365022,129.019952,64.499029
2/1/2016,3.703202,27.32567,120.000611,131.161202,65.116428
1/29/2016,3.683292,27.276707,119.201312,131.72626,64.016685
1/28/2016,3.623563,26.493316,117.853097,127.106717,61.952253
1/27/2016,3.613608,26.498211,116.398958,127.136455,61.691787
1/26/2016,3.713157,26.850738,115.975232,126.174876,61.740021
1/25/2016,3.633518,26.542277,114.790727,124.945645,61.209443
1/22/2016,3.713157,27.090652,114.020324,126.452444,60.476278
1/21/2016,3.643473,26.596136,113.481033,122.49709,59.694884
1/20/2016,3.583744,26.248506,111.497236,122.110477,58.691607
1/19/2016,3.643473,26.561862,113.153614,126.095569,60.350872
1/15/2016,3.613608,26.385599,110.919432,125.818002,59.743117
1/14/2016,3.703202,26.953558,112.306168,130.556497,60.833216
1/13/2016,3.693247,26.219128,110.861654,129.158736,59.733468
1/12/2016,3.772886,26.865426,113.095835,133.540372,61.373438
1/11/2016,3.80275,26.791984,112.373578,131.815475,61.952253
1/8/2016,3.792795,26.767502,111.208338,133.540372,61.296265
1/7/2016,3.82266,26.738126,111.38168,133.421404,62.733648
1/6/2016,3.872434,27.036794,114.020324,139.547753,61.30591
1/5/2016,3.892344,27.247331,114.790727,143.394055,60.698156
1/4/2016,3.932163,27.242433,113.230656,142.184646,59.289713
12/31/2015,4.051621,27.506829,113.769939,147.696384,59.135363
12/30/2015,4.051621,27.643315,115.012222,147.884721,59.501945
12/29/2015,4.071531,28.057649,115.628548,147.944213,59.434417
12/28/2015,4.051621,27.877291,114.357375,147.121418,58.604785
12/24/2015,4.071531,27.93091,114.184033,148.350642,58.681962
12/23/2015,4.051621,27.867541,114.405529,149.411358,58.932779
12/22/2015,4.001847,27.731056,113.365477,147.121418,58.402202
12/21/2015,3.981937,27.521452,113.336588,144.48451,57.447159
12/18/2015,3.971983,27.492206,112.344689,145.872348,56.771877
12/17/2015,4.001847,27.98453,113.153614,150.521629,56.897287
12/16/2015,4.071531,28.613342,113.481033,147.537769,58.170675
12/15/2015,4.051621,28.150264,112.604698,143.433716,57.533981
12/14/2015,3.981937,27.965032,111.959484,142.442398,58.257497
12/11/2015,3.991892,28.257503,111.786142,143.007441,57.26387
12/10/2015,4.041666,29.086167,112.864708,147.200725,57.456808
12/9/2015,3.991892,28.559722,112.267647,145.525399,57.041992
12/8/2015,3.981937,29.0228,112.219493,146.851502,57.505042
12/7/2015,4.021757,29.427383,112.113562,150.988172,58.363613
12/4/2015,4.071531,29.612615,111.901698,153.858099,57.553275
12/3/2015,4.041666,29.061795,109.195644,152.03718,56.95517
12/2/2015,4.091441,29.481003,109.513439,156.23321,56.289533
12/1/2015,4.141215,30.100065,110.216432,158.786463,56.434238
11/30/2015,4.091441,29.666235,109.937165,156.896262,56.290736
11/27/2015,4.121305,30.022073,110.004576,162.388723,57.295243
11/25/2015,4.101395,29.929458,109.311207,160.716242,57.630082
11/24/2015,4.091441,30.056195,109.196542,161.49806,57.323942
